id	answer	gold
3201.png	names	preparation
3201.png	the root collects water containing minerals from the soil and the shoot gets it from the root.	preparation
3201.png	names	preparation
3222.png	labels	elaboration
3222.png	describes	elaboration
3222.png	describes	elaboration
3222.png	names	elaboration
3222.png	names	elaboration
3264.png	contains	preparation
3264.png	describes	preparation
3264.png	contains	preparation
3264.png	consists	preparation
3264.png	correct	preparation
3271.png	is included	elaboration
3271.png	gives information about	elaboration
3271.png	describes	elaboration
3271.png	develops	elaboration
3271.png	names	elaboration
3676.png	names	preparation
3676.png	gives information about	preparation
3676.png	names	preparation
3676.png	includes	preparation
3676.png	describes	preparation
3681.png	describes	elaboration
3681.png	describes	elaboration
3681.png	is the drag for support healthy functioning of	elaboration
3681.png	describes	elaboration
3681.png	gives information about	elaboration
372.png	describes	class-ascription
372.png	these are the types of rocks found on earth surface	class-ascription
372.png	sedimentary rocks	class-ascription
372.png	is the type of	class-ascription
372.png	climate change	class-ascription
3786.png	part b is bodies	elaboration
3786.png	names an organ of	elaboration
3786.png	liver	elaboration
3786.png	describes part of	elaboration
3786.png	names	elaboration
3889.png	bears fruit	identification
3889.png	describes	identification
3889.png	names	identification
3889.png	describes	identification
3889.png	is a name of	identification
3972.png	describes	elaboration
3972.png	they both represent same body part	elaboration
3972.png	names	elaboration
3972.png	names	elaboration
3972.png	describes	elaboration
3975.png	names	identification
3975.png	names	identification
3975.png	names	identification
3975.png	is the of	identification
3975.png	describes	identification
4008.png	names	preparation
4008.png	shows	preparation
4008.png	part b is the words next to the diagram	preparation
4008.png	describes	preparation
4008.png	defines	preparation
4081.png	describes	preparation
4081.png	contains	preparation
4081.png	is a class of	preparation
4081.png	part b is the core of the sun	preparation
4081.png	describes	preparation
4086.png	is the the common name of	preparation
4086.png	is a name of	preparation
4086.png	describes	preparation
4086.png	part b is the core	preparation
4086.png	describes	preparation
4131.png	described by	identification
4131.png	names	identification
4131.png	provides	identification
4131.png	names	identification
4131.png	photosynthesis is the process whereby green plant manufacture their food with the help of sunlight in the presence of chlorophyll	identification
4150.png	is a name of	identification
4150.png	describes	identification
4150.png	names	identification
4150.png	are smoothed out	identification
4150.png	shows	identification
4174.png	is a name of	identification
4174.png	describes	identification
4174.png	describes	identification
4174.png	described by	identification
4174.png	names	identification
4194.png	is a class of	identification
4194.png	describes	identification
4194.png	part b is the words in the diagram	identification
4194.png	names	identification
4194.png	described by	identification
4203.png	formed	identification
4203.png	is the stage of	identification
4203.png	names	identification
4203.png	names	identification
4203.png	names	identification
4261.png	soil profile	preparation
4261.png	there is a connection	preparation
4261.png	layers	preparation
4261.png	shows	preparation
4261.png	rectangle	preparation
4319.png	remoteness	identification
4319.png	names	identification
4319.png	names	identification
4319.png	describes	identification
4319.png	is element of	identification
4334.png	describes	identification
4334.png	air	identification
4334.png	names	identification
4334.png	names	identification
4334.png	describes	identification
4365.png	names	identification
4365.png	names	identification
4365.png	part b is a picture of a berry on a table	identification
4365.png	names	identification
4365.png	describes	identification
4369.png	fruit promoting eye health	identification
4369.png	names	identification
4369.png	fruits	identification
4369.png	names	identification
4369.png	part b is a picture of a fruit	identification
4393.png	names	property-ascription
4393.png	names	property-ascription
4393.png	the type of leaf of the tree from flowering to drying	property-ascription
4393.png	it explores  how  a plant grows	property-ascription
4393.png	is the class of	property-ascription
4417.png	names	property-ascription
4417.png	describes	property-ascription
4417.png	describes	property-ascription
4417.png	describes the state of type of	property-ascription
4417.png	is the class of	property-ascription
4481.png	names	identification
4481.png	describes	identification
4481.png	seeds in the ear	identification
4481.png	is a class of	identification
4481.png	names	identification
4515.png	gives information about	elaboration
4515.png	describes	elaboration
4515.png	describes	elaboration
4515.png	plants	elaboration
4515.png	describes	elaboration
4528.png	view	property-ascription
4528.png	is the kind of	property-ascription
4528.png	describes	property-ascription
4528.png	is the class of	property-ascription
4528.png	describes	property-ascription
4546.png	is the class of	identification
4546.png	describes	identification
4546.png	names	identification
4546.png	insect	identification
4546.png	part b is an insect	identification
4561.png	spearmint tree which is mint	class-ascription
4561.png	spearmint	class-ascription
4561.png	names	class-ascription
4561.png	names	class-ascription
4561.png	is a name of	class-ascription
4573.png	names	identification
4573.png	names	identification
4573.png	all are the nine planets	identification
4573.png	names	identification
4573.png	names	identification
4579.png	names	identification
4579.png	is the name of	identification
4579.png	part b is an image of the planet earth	identification
4579.png	describes	identification
4579.png	names	identification
463.png	names	identification
463.png	fish	identification
463.png	is the class of	identification
463.png	names	identification
463.png	names	identification
465.png	effecting	identification
465.png	labels	identification
465.png	enumerate	identification
465.png	describes	identification
465.png	describes the position of	identification
4691.png	names	identification
4691.png	names	identification
4691.png	is the class of	identification
4691.png	is a class of	identification
4691.png	describes	identification
4695.png	marks	identification
4695.png	bones	identification
4695.png	part b is a dinosaur skeleton	identification
4695.png	names	identification
4695.png	labels	identification
4708.png	describes	property-ascription
4708.png	describes	property-ascription
4708.png	describes	property-ascription
4708.png	names	property-ascription
4708.png	types	property-ascription
4719.png	names	property-ascription
4719.png	names	property-ascription
4719.png	is a class of	property-ascription
4719.png	names	property-ascription
4719.png	is the class of	property-ascription
4770.png	describes	identification
4770.png	names	identification
4770.png	part b is the title	identification
4770.png	stem	identification
4770.png	names	identification
4857.png	describes	preparation
4857.png	is a class of	preparation
4857.png	spews	preparation
4857.png	names	preparation
4857.png	shows	preparation
495.png	is suborder of	identification
495.png	plastered	identification
495.png	parts	identification
495.png	names	identification
495.png	names	identification
53.png	changing	identification
53.png	names	identification
53.png	describes	identification
53.png	describes	identification
53.png	names	identification
571.png	describes	property-ascription
571.png	describes	property-ascription
571.png	plantations	property-ascription
571.png	describes	property-ascription
571.png	shapes	property-ascription
638.png	describes	elaboration
638.png	describes	elaboration
638.png	describes natural phenomenon on	elaboration
638.png	describes the state of	elaboration
638.png	crosses	elaboration
675.png	is a class of	identification
675.png	names	identification
675.png	is the name of	identification
675.png	names	identification
675.png	shines	identification
713.png	is the class of	identification
713.png	names	identification
713.png	receives pressures from	identification
713.png	is the outcome of pressure  from	identification
713.png	names	identification
748.png	names	identification
748.png	names	identification
748.png	contains	identification
748.png	names	identification
748.png	names	identification
750.png	is a part of	identification
750.png	names	identification
750.png	revolving	identification
750.png	describes	identification
750.png	part b is the image of the sun on the diagram	identification
776.png	is the stage of	identification
776.png	describes	identification
776.png	shows	identification
776.png	images very amazing	identification
776.png	describes	identification
793.png	names	identification
793.png	the labeled grass	identification
793.png	names	identification
793.png	names	identification
793.png	animals food	identification
824.png	names	identification
824.png	names	identification
824.png	describes	identification
824.png	describes	identification
824.png	names	identification
84.png	describes	identification
84.png	describes the position of	identification
84.png	revolving	identification
84.png	is the class of	identification
84.png	describes	identification
85.png	is the class of	identification
85.png	describes	identification
85.png	light	identification
85.png	describes	identification
85.png	describes	identification
852.png	names	identification
852.png	names	identification
852.png	is a name of	identification
852.png	is the class of	identification
852.png	postpones	identification
89.png	revolves	identification
89.png	names	identification
89.png	names	identification
89.png	describes	identification
89.png	names	identification
946.png	shape	identification
946.png	is the kind of	identification
946.png	forms	identification
946.png	is the class of	identification
946.png	names	identification
